6539	cMaBtithEe6Org4Iu8O6PA==	5	Early Morning Bass	mpx-minimoog template.performance			Bass;Fast Synth;		Huston Singletary			1690340799	1721259477	1721259477	0		0	multi/poly	0	0	0	0	"Early 80's funk Mini bass. ""Early bird always catches the worm..."""	0	0	Mpx		1
6540	Z2UoIvxREem+3LZSNz1wLg==	5	mono/poly pwm	mono-poly pwm.performance			Lead;Bass;		Bill Barton			1678737397	1721259477	1721259477	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6541	/I4lSgYUEe6P9XDNYKrNDg==	5	Approaching Off World	mpx-minimoog template.performance			Pad;Soundscape;		Ski			1686239770	1721259477	1721259477	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6542	KI1neP6jEem50B7++jdE5w==	5	prophet sync II	prophet sync II.performance			Lead;Synth;		Bill Barton			1680673948	1721259478	1721259478	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6543	6m2pLCE+Ee6ornDNYKrNDg==	5	AudioRate Carillon	mpx-minimoog template.performance			Bell/Mallet;Soundscape;		Ski			1689226459	1721259478	1721259478	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6544	jXWxbu9dEe2z1nrvsXCCww==	5	Hocketarp	mono-poly template.performance			Arpeggio;Gtr/Plucked;		Francis Preve			1683742060	1721259478	1721259478	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6545	WPXjrgS8Ee65R3DNYKrNDg==	5	MP x0x Drums	mpx-minimoog template.performance			Drums;Percussion;		Ski			1686091748	1721259478	1721259478	0		0	multi/poly	0	0	0	0	Kick: C3 - B3                                                                                               Rim: C4 - D4 (3 sounds)                                                                            HH: D#4 - F#4 (3 sounds                                                                            Claps: G4 - B4                                                                                                  Snare: C5 >>	0	0	Mpx		1
6546	XMsE9CFpEe6RQ/KnoEkLBA==	5	W.I.N. Stack	mono-poly template.performance			Pad;Bell/Mallet;		Matt Pike			1689244690	1721259478	1721259478	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6547	NxS9yCTdEe6VbHDNYKrNDg==	5	Analog Horns	mpx-minimoog template.performance			Brass;None;		Ski			1689624302	1721259479	1721259479	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6548	+BlLdmFnEe6MHHDNYKrNDg==	5	Flutescape	000_Free Run LFO test.performance			Woodwind;Pad;		Ski			1696280966	1721259479	1721259479	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6549	UMtdrupTEe2W0nDNYKrNDg==	5	A-List Strings	mpx-minimoog template.performance			Strings;Orchestral;		Ski			1683187907	1721259479	1721259479	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6550	hK5H/CdTEe6zNXDNYKrNDg==	5	Operatic Choir	mpx-minimoog template.performance			Vocal/Airy;Pad;		Ski			1689895015	1721259479	1721259479	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6551	XWnxxgSCEe625qzeSAARIg==	5	1984 Baby	mono-poly template.performance			Seq;Fast Synth;		Airwave			1686066845	1721259480	1721259480	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
