1578	q6+38Fk+Ee+8/HDNYKrNDg==	5	Bass: Deep Saw Thump				Bass;Synth;		"Peter ""Ski"" Schwartz"			1723531117	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW = vibrato"	0	0	Arp2600		0
1579	FpK/Qk5SEe+ub3DNYKrNDg==	5	Bass: Deep Square Thump				Bass;Synth;		"Peter ""Ski"" Schwartz"			1722329994	1723678668	1723678668	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW = vibrato"	0	0	Arp2600		0
1580	MMo9GFg0Ee+qAXDNYKrNDg==	5	Bass: Deeper Saw Thump				Bass;Synth;		"Peter ""Ski"" Schwartz"			1723416665	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW = vibrato"	0	0	Arp2600		0
1581	Cov1Ilk/Ee+SFXDNYKrNDg==	5	Bass: Deeper Squ Thump				Bass;Synth;		"Peter ""Ski"" Schwartz"			1723531276	1723678857	1723678857	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW = vibrato"	0	0	Arp2600		0
1582	l0fV/FN4Ee+LAnDNYKrNDg==	5	Bass: Medium Moog				Bass;Synth;		"Peter ""Ski"" Schwartz"			1722896287	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW = vibrato"	0	0	Arp2600		0
1583	j6+BYE1uEe+fbXDNYKrNDg==	5	Bass: Moog Snap				Bass;Synth;		"Peter ""Ski"" Schwartz"			1722232272	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW & AT = vibrato"	0	0	Arp2600		0
1584	HuuN6E1uEe+Ty3DNYKrNDg==	5	Bass: Take My Breath MW				Bass;Synth;		"Peter ""Ski"" Schwartz"			1722232083	1723679110	1723679110	0		0	ART-Z 2600	0	0	0	0	ModWheel reduces EG > VCF Cutoff for rounder tone	0	0	Arp2600		0
1585	OunZME4kEe+rnXDNYKrNDg==	5	Bella Bells				Bell/Mallet;Soundscape;		"Peter ""Ski"" Schwartz"			1722310298	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW & AT = vibrato	0	0	Arp2600		0
1586	QSLEtlngEe+1AXDNYKrNDg==	5	Bella Bells (8v)				Bell/Mallet;Soundscape;		"Peter ""Ski"" Schwartz"			1723600517	1723620322	1723620322	0		0	ART-Z 2600 (8v)	0	0	0	0	MW & AT = vibrato	0	0	Arp2600		0
1587	ZQtWPFR7Ee+EBXDNYKrNDg==	5	Bellscape				Bell/Mallet;Pad;		"Peter ""Ski"" Schwartz"			1723007442	1723680827	1723680827	0		0	ART-Z 2600	0	0	0	0	"MW = harmonic sweep (Multi-Mode Filter)

AT = vibrato"	0	0	Arp2600		0
1588	UcomGFniEe+XMHDNYKrNDg==	5	Bellscape (8v)				Bell/Mallet;Pad;		"Peter ""Ski"" Schwartz"			1723601404	1723680837	1723680837	0		0	ART-Z 2600 (8v)	0	0	0	0	"MW = harmonic sweep (Multi-Mode Filter)

AT = vibrato"	0	0	Arp2600		0
1589	YXmkPlqSEe+i1XDNYKrNDg==	5	Bong Hits				Bell/Mallet;Soundscape;		"Peter ""Ski"" Schwartz"			1723677021	1723678197	1723678197	0		0	ART-Z 2600	0	0	0	0	"MW = Close LPF

For shorter ring-out, reduce AR release time and Reverb FX time"	0	0	Arp2600		0
1590	n+4WUOb3Ee6aTXDNYKrNDg==	5	BP Stutter Down				Rhythm Hard;Synth;		"Peter ""Ski"" Schwartz"			1710966170	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW = adds synth string-like sub octave	0	0	Arp2600		0
1591	YP75bOTsEe6O7HDNYKrNDg==	5	BP Stutter Up (No Pan)				Rhythm Hard;Synth;		"Peter ""Ski"" Schwartz"			1710741438	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW = longer EG attack time (slower upward sweep)	0	0	Arp2600		0
1592	BzZuWOibEe6EFHDNYKrNDg==	5	BP Stutter Up, Noise+Pan				Rhythm Hard;Synth;		"Peter ""Ski"" Schwartz"			1711146303	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW = longer EG attack time for filter sweep	0	0	Arp2600		0
1593	ZaJypFUdEe+qW3DNYKrNDg==	5	Bubbles MW Flutter				Bell/Mallet;SFX;		"Peter ""Ski"" Schwartz"			1723077021	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW controls frequency (speed) of VCO2 which is used as square wave LFO to create the stutter/flutter effect. 	0	0	Arp2600		0
